Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Crs,TklW,Int,Fld,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm
1,Brenden Aaronson,us USA,MF,Leeds United,eng Premier League,25.0,2000,3,2,155,1.7,0,0,0,0,0,0,0,0,0.00,1,1,100.0,0.58,0.58,0.00,0.00,0,0,0,2,0,5,0,0,0,0,0,,,,,,,,,,,,,,
2,Haitam Abaida,ma MAR,FW,Málaga,es La Liga,24.0,2002,2,0,35,0.4,0,0,0,0,0,0,0,0,0.00,3,0,0.0,7.71,0.00,0.00,,0,0,6,0,0,2,0,0,0,1,0,,,,,,,,,,,,,,
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,22.0,2004,3,3,255,2.8,0,0,0,0,0,0,1,0,0.00,0,0,,0.00,0.00,,,0,0,1,5,1,2,1,0,0,5,0,,,,,,,,,,,,,,
4,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,20.0,2006,4,0,97,1.1,1,0,1,1,0,0,0,0,0.93,5,2,40.0,4.64,1.86,0.20,0.50,0,0,10,0,0,2,0,0,0,2,0,,,,,,,,,,,,,,
5,Hamza Abdelkarim,eg EGY,FW,Barcelona,es La Liga,18.0,2008,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
6,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,20.0,2006,3,2,151,1.7,0,0,0,0,0,0,0,0,0.00,3,1,33.3,1.79,0.60,0.00,0.00,0,0,6,0,0,1,0,0,0,4,0,,,,,,,,,,,,,,
7,Himad Abdelli,dz ALG,MF,Marseille,fr Ligue 1,26.0,1999,4,4,293,3.3,0,0,0,0,0,0,1,0,0.00,1,0,0.0,0.31,0.00,0.00,,0,0,1,4,0,2,1,0,0,4,0,,,,,,,,,,,,,,
8,Mohamed Abdelmonem,eg EGY,DF,Nice,fr Ligue 1,27.0,1999,4,3,250,2.8,0,0,0,0,0,0,0,0,0.00,3,0,0.0,1.08,0.00,0.00,,0,0,2,5,3,2,0,0,0,1,0,,,,,,,,,,,,,,
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,32.0,1993,2,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,1,1,0,0,0,0,0,1,0,,,,,,,,,,,,,,
10,Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,27.0,1999,1,1,61,0.7,1,0,1,1,0,0,0,0,1.48,1,1,100.0,1.48,1.48,1.00,1.00,0,0,0,1,2,1,0,0,0,1,0,,,,,,,,,,,,,,
